bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1991695,3153718,text,72549,text/html,Introduced,https://legiscan.com/IA/text/HF782/id/3153718,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF782.html
1991695,3208352,text,53492,text/html,Enrolled,https://legiscan.com/IA/text/HF782/id/3208352,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF782.html
1991943,3153947,text,96946,text/html,Introduced,https://legiscan.com/IA/text/HF783/id/3153947,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF783.html
1991943,3195450,text,72598,text/html,Enrolled,https://legiscan.com/IA/text/HF783/id/3195450,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF783.html
1991743,3153762,text,86983,text/html,Introduced,https://legiscan.com/IA/text/HF784/id/3153762,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF784.html
1991743,3180433,text,56892,text/html,Amended,https://legiscan.com/IA/text/HF784/id/3180433,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF784.html
1991743,3206658,text,56277,text/html,Enrolled,https://legiscan.com/IA/text/HF784/id/3206658,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF784.html
1991885,3153894,text,37055,text/html,Introduced,https://legiscan.com/IA/text/HF785/id/3153894,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF785.html
1991885,3191314,text,10950,text/html,Amended,https://legiscan.com/IA/text/HF785/id/3191314,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF785.html
1991885,3208338,text,11669,text/html,Enrolled,https://legiscan.com/IA/text/HF785/id/3208338,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF785.html
1991822,3153835,text,121545,text/html,Introduced,https://legiscan.com/IA/text/HF786/id/3153835,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF786.html
1991823,3153836,text,256879,text/html,Introduced,https://legiscan.com/IA/text/HF787/id/3153836,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF787.html
1991823,3236072,text,174261,text/html,Enrolled,https://legiscan.com/IA/text/HF787/id/3236072,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF787.html
1991645,3153673,text,44713,text/html,Introduced,https://legiscan.com/IA/text/HF788/id/3153673,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF788.html
1991922,3153928,text,27433,text/html,Introduced,https://legiscan.com/IA/text/HF789/id/3153928,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF789.html
1991803,3153817,text,58346,text/html,Introduced,https://legiscan.com/IA/text/HF790/id/3153817,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF790.html
1991757,3153775,text,54859,text/html,Introduced,https://legiscan.com/IA/text/HF791/id/3153775,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF791.html
1991853,3153865,text,28649,text/html,Introduced,https://legiscan.com/IA/text/HF792/id/3153865,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF792.html
1991636,3153665,text,15229,text/html,Introduced,https://legiscan.com/IA/text/HF793/id/3153665,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF793.html
1991636,3178505,text,9619,text/html,Amended,https://legiscan.com/IA/text/HF793/id/3178505,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF793.html
1991636,3221410,text,9987,text/html,Enrolled,https://legiscan.com/IA/text/HF793/id/3221410,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF793.html
1991845,3153857,text,28944,text/html,Introduced,https://legiscan.com/IA/text/HF794/id/3153857,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF794.html
1991783,3153799,text,19855,text/html,Introduced,https://legiscan.com/IA/text/HF795/id/3153799,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF795.html
1991792,3153808,text,45951,text/html,Introduced,https://legiscan.com/IA/text/HF796/id/3153808,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF796.html
1991942,3153946,text,58587,text/html,Introduced,https://legiscan.com/IA/text/HF797/id/3153946,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF797.html
1991883,3153893,text,91405,text/html,Introduced,https://legiscan.com/IA/text/HF798/id/3153893,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF798.html
1991762,3153780,text,1011692,text/html,Introduced,https://legiscan.com/IA/text/HF799/id/3153780,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF799.html
1991777,3153794,text,215417,text/html,Introduced,https://legiscan.com/IA/text/HF800/id/3153794,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF800.html
1991652,3153680,text,30807,text/html,Introduced,https://legiscan.com/IA/text/HF801/id/3153680,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF801.html
1991872,3153883,text,188914,text/html,Introduced,https://legiscan.com/IA/text/HF802/id/3153883,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF802.html
1991685,3153709,text,13622,text/html,Introduced,https://legiscan.com/IA/text/HF803/id/3153709,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF803.html
1991983,3153984,text,53304,text/html,Introduced,https://legiscan.com/IA/text/HF804/id/3153984,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF804.html
1991608,3153639,text,85063,text/html,Introduced,https://legiscan.com/IA/text/HF805/id/3153639,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF805.html
1991608,3183751,text,82180,text/html,Amended,https://legiscan.com/IA/text/HF805/id/3183751,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF805.html
1991608,3215982,text,42819,text/html,Enrolled,https://legiscan.com/IA/text/HF805/id/3215982,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF805.html
1991953,3153957,text,10729,text/html,Introduced,https://legiscan.com/IA/text/HF806/id/3153957,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF806.html
1991953,3214242,text,8127,text/html,Enrolled,https://legiscan.com/IA/text/HF806/id/3214242,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF806.html
1991787,3153803,text,50949,text/html,Introduced,https://legiscan.com/IA/text/HF807/id/3153803,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF807.html
1991787,3186571,text,34982,text/html,Amended,https://legiscan.com/IA/text/HF807/id/3186571,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF807.html
1993461,3156247,text,20060,text/html,Introduced,https://legiscan.com/IA/text/HF808/id/3156247,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF808.html
1993186,3155985,text,113945,text/html,Introduced,https://legiscan.com/IA/text/HF809/id/3155985,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF809.html
1993125,3155925,text,50056,text/html,Introduced,https://legiscan.com/IA/text/HF810/id/3155925,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF810.html
1993346,3156135,text,54468,text/html,Introduced,https://legiscan.com/IA/text/HF811/id/3156135,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF811.html
1993302,3156093,text,56828,text/html,Introduced,https://legiscan.com/IA/text/HF812/id/3156093,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF812.html
1993474,3156260,text,36846,text/html,Introduced,https://legiscan.com/IA/text/HF813/id/3156260,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF813.html
1993116,3155916,text,18910,text/html,Introduced,https://legiscan.com/IA/text/HF814/id/3155916,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF814.html
