bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2026440,587329,supplement,55801,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1036/id/587329,https://www.legis.iowa.gov/docs/publications/NOBA/1526791.pdf
2026440,597275,supplement,54604,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1036/id/597275,https://www.legis.iowa.gov/docs/publications/NOBA/1527423.pdf
2026906,3223153,text,56272,text/html,Introduced,https://legiscan.com/IA/text/HF1037/id/3223153,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1037.html
2026906,597878,supplement,170506,application/pdf,Fiscal Note,https://legiscan.com/IA/supplement/HF1037/id/597878,https://www.legis.iowa.gov/docs/publications/FN/1527516.pdf
2028411,3228647,text,114137,text/html,Introduced,https://legiscan.com/IA/text/HF1038/id/3228647,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1038.html
2028411,3237458,text,172508,text/html,Amended,https://legiscan.com/IA/text/HF1038/id/3237458,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF1038.html
2028411,3240818,text,168801,text/html,Enrolled,https://legiscan.com/IA/text/HF1038/id/3240818,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF1038.html
2028411,592769,supplement,104992,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1038/id/592769,https://www.legis.iowa.gov/docs/publications/NOBA/1527166.pdf
2028411,598366,supplement,116946,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1038/id/598366,https://www.legis.iowa.gov/docs/publications/NOBA/1528030.pdf
2028389,3228625,text,479325,text/html,Introduced,https://legiscan.com/IA/text/HF1039/id/3228625,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1039.html
2028389,3237656,text,423356,text/html,Amended,https://legiscan.com/IA/text/HF1039/id/3237656,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF1039.html
2028389,3241470,text,413791,text/html,Enrolled,https://legiscan.com/IA/text/HF1039/id/3241470,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF1039.html
2028389,592934,supplement,318670,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1039/id/592934,https://www.legis.iowa.gov/docs/publications/NOBA/1527163.pdf
2028389,603849,supplement,289086,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1039/id/603849,https://www.legis.iowa.gov/docs/publications/NOBA/1528827.pdf
1933974,3071232,text,22561,text/html,Introduced,https://legiscan.com/IA/text/HF104/id/3071232,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF104.html
2028432,3228665,text,433519,text/html,Introduced,https://legiscan.com/IA/text/HF1040/id/3228665,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1040.html
2028432,592948,supplement,209025,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1040/id/592948,https://www.legis.iowa.gov/docs/publications/NOBA/1527157.pdf
2029196,3231116,text,95471,text/html,Introduced,https://legiscan.com/IA/text/HF1041/id/3231116,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1041.html
2029196,594195,supplement,117125,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1041/id/594195,https://www.legis.iowa.gov/docs/publications/NOBA/1527193.pdf
2030137,3233722,text,712560,text/html,Introduced,https://legiscan.com/IA/text/HF1042/id/3233722,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1042.html
2030137,596357,supplement,771760,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1042/id/596357,https://www.legis.iowa.gov/docs/publications/NOBA/1527334.pdf
2029986,3233521,text,698733,text/html,Introduced,https://legiscan.com/IA/text/HF1043/id/3233521,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1043.html
2029986,594847,supplement,230600,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1043/id/594847,https://www.legis.iowa.gov/docs/publications/NOBA/1527323.pdf
2029905,3233472,text,500805,text/html,Introduced,https://legiscan.com/IA/text/HF1044/id/3233472,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1044.html
2029905,3241515,text,490564,text/html,Amended,https://legiscan.com/IA/text/HF1044/id/3241515,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF1044.html
2029905,3242342,text,479173,text/html,Enrolled,https://legiscan.com/IA/text/HF1044/id/3242342,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF1044.html
2029905,594864,supplement,274110,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1044/id/594864,https://www.legis.iowa.gov/docs/publications/NOBA/1527320.pdf
2029905,605188,supplement,322142,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1044/id/605188,https://www.legis.iowa.gov/docs/publications/NOBA/1528940.pdf
2030059,3233563,text,858909,text/html,Introduced,https://legiscan.com/IA/text/HF1045/id/3233563,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1045.html
2030059,594865,supplement,273606,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1045/id/594865,https://www.legis.iowa.gov/docs/publications/NOBA/1527324.pdf
2030455,3234849,text,559879,text/html,Introduced,https://legiscan.com/IA/text/HF1046/id/3234849,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1046.html
2030455,597157,supplement,224518,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1046/id/597157,https://www.legis.iowa.gov/docs/publications/NOBA/1527415.pdf
2030480,3234863,text,103842,text/html,Introduced,https://legiscan.com/IA/text/HF1047/id/3234863,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1047.html
2030480,597165,supplement,51332,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1047/id/597165,https://www.legis.iowa.gov/docs/publications/NOBA/1527417.pdf
2030503,3234876,text,207378,text/html,Introduced,https://legiscan.com/IA/text/HF1048/id/3234876,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1048.html
2030503,597167,supplement,121688,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1048/id/597167,https://www.legis.iowa.gov/docs/publications/NOBA/1527416.pdf
2030528,3234888,text,750731,text/html,Introduced,https://legiscan.com/IA/text/HF1049/id/3234888,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1049.html
2030528,3240330,text,707504,text/html,Enrolled,https://legiscan.com/IA/text/HF1049/id/3240330,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF1049.html
2030528,596983,supplement,280712,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1049/id/596983,https://www.legis.iowa.gov/docs/publications/NOBA/1527411.pdf
2030528,596984,supplement,280198,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1049/id/596984,https://www.legis.iowa.gov/docs/publications/NOBA/1527519.pdf
2030528,606833,supplement,290559,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1049/id/606833,https://www.legis.iowa.gov/docs/publications/NOBA/1528947.pdf
1934242,3071485,text,15459,text/html,Introduced,https://legiscan.com/IA/text/HF105/id/3071485,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF105.html
2030617,3235523,text,28142,text/html,Introduced,https://legiscan.com/IA/text/HF1050/id/3235523,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1050.html
2030593,3235503,text,283247,text/html,Introduced,https://legiscan.com/IA/text/HF1051/id/3235503,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1051.html
2030575,3235491,text,410538,text/html,Introduced,https://legiscan.com/IA/text/HF1052/id/3235491,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1052.html
2030575,597447,supplement,132859,application/pdf,Fiscal Note,https://legiscan.com/IA/supplement/HF1052/id/597447,https://www.legis.iowa.gov/docs/publications/FN/1527463.pdf
2030643,3235545,text,49214,text/html,Introduced,https://legiscan.com/IA/text/HF1053/id/3235545,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1053.html
2030643,597457,supplement,137001,application/pdf,Fiscal Note,https://legiscan.com/IA/supplement/HF1053/id/597457,https://www.legis.iowa.gov/docs/publications/FN/1527472.pdf
2030891,3235967,text,1582659,text/html,Introduced,https://legiscan.com/IA/text/HF1054/id/3235967,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1054.html
2030891,597792,supplement,237888,application/pdf,Fiscal Note,https://legiscan.com/IA/supplement/HF1054/id/597792,https://www.legis.iowa.gov/docs/publications/FN/1527489.pdf
2031432,3237412,text,151646,text/html,Introduced,https://legiscan.com/IA/text/HF1055/id/3237412,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1055.html
2031432,597118,supplement,83634,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1055/id/597118,https://www.legis.iowa.gov/docs/publications/NOBA/1528018.pdf
1933929,3071191,text,21603,text/html,Introduced,https://legiscan.com/IA/text/HF106/id/3071191,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF106.html
1934313,3071551,text,28512,text/html,Introduced,https://legiscan.com/IA/text/HF107/id/3071551,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF107.html
1934197,3071444,text,13252,text/html,Introduced,https://legiscan.com/IA/text/HF108/id/3071444,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF108.html
1934419,3071653,text,19474,text/html,Introduced,https://legiscan.com/IA/text/HF109/id/3071653,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF109.html
1917306,3054343,text,31604,text/html,Introduced,https://legiscan.com/IA/text/HF11/id/3054343,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF11.html
1934086,3071338,text,14724,text/html,Introduced,https://legiscan.com/IA/text/HF110/id/3071338,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF110.html
1934288,3071528,text,52786,text/html,Introduced,https://legiscan.com/IA/text/HF111/id/3071528,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF111.html
1936859,3074305,text,17082,text/html,Introduced,https://legiscan.com/IA/text/HF112/id/3074305,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF112.html
1936837,3074291,text,60031,text/html,Introduced,https://legiscan.com/IA/text/HF113/id/3074291,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF113.html
1936969,3074386,text,36985,text/html,Introduced,https://legiscan.com/IA/text/HF114/id/3074386,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF114.html
1937145,3074515,text,89430,text/html,Introduced,https://legiscan.com/IA/text/HF115/id/3074515,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF115.html
1937067,3074457,text,11942,text/html,Introduced,https://legiscan.com/IA/text/HF116/id/3074457,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF116.html
1937055,3074448,text,76882,text/html,Introduced,https://legiscan.com/IA/text/HF117/id/3074448,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF117.html
1937055,3219991,text,53810,text/html,Enrolled,https://legiscan.com/IA/text/HF117/id/3219991,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF117.html
1937055,501229,supplement,127350,application/pdf,Fiscal Note,https://legiscan.com/IA/supplement/HF117/id/501229,https://www.legis.iowa.gov/docs/publications/FN/1520954.pdf
1936942,3074366,text,39161,text/html,Introduced,https://legiscan.com/IA/text/HF118/id/3074366,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF118.html
1936942,3208655,text,27050,text/html,Enrolled,https://legiscan.com/IA/text/HF118/id/3208655,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF118.html
1942182,3083206,text,65238,text/html,Introduced,https://legiscan.com/IA/text/HF119/id/3083206,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF119.html
1917428,3054458,text,31968,text/html,Introduced,https://legiscan.com/IA/text/HF12/id/3054458,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF12.html
1942099,3083128,text,19993,text/html,Introduced,https://legiscan.com/IA/text/HF120/id/3083128,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF120.html
1942020,3083053,text,29440,text/html,Introduced,https://legiscan.com/IA/text/HF121/id/3083053,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF121.html
1941892,3082933,text,48112,text/html,Introduced,https://legiscan.com/IA/text/HF122/id/3082933,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF122.html
1941918,3082957,text,287941,text/html,Introduced,https://legiscan.com/IA/text/HF123/id/3082957,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF123.html
1941993,3083028,text,132996,text/html,Introduced,https://legiscan.com/IA/text/HF124/id/3083028,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF124.html
1942151,3083176,text,241832,text/html,Introduced,https://legiscan.com/IA/text/HF125/id/3083176,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF125.html
1941969,3083006,text,51056,text/html,Introduced,https://legiscan.com/IA/text/HF126/id/3083006,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF126.html
1942211,3083234,text,114112,text/html,Introduced,https://legiscan.com/IA/text/HF127/id/3083234,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF127.html
1942050,3083079,text,154076,text/html,Introduced,https://legiscan.com/IA/text/HF128/id/3083079,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF128.html
1942123,3083151,text,88192,text/html,Introduced,https://legiscan.com/IA/text/HF129/id/3083151,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF129.html
1917538,3054562,text,22754,text/html,Introduced,https://legiscan.com/IA/text/HF13/id/3054562,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF13.html
1942238,3083259,text,39036,text/html,Introduced,https://legiscan.com/IA/text/HF130/id/3083259,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF130.html
1941939,3082977,text,70269,text/html,Introduced,https://legiscan.com/IA/text/HF131/id/3082977,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF131.html
1942264,3083284,text,33346,text/html,Introduced,https://legiscan.com/IA/text/HF132/id/3083284,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF132.html
1942628,3083694,text,78568,text/html,Introduced,https://legiscan.com/IA/text/HF133/id/3083694,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF133.html
1942709,3083768,text,23216,text/html,Introduced,https://legiscan.com/IA/text/HF134/id/3083768,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF134.html
1942982,3084121,text,31530,text/html,Introduced,https://legiscan.com/IA/text/HF135/id/3084121,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF135.html
1943005,3084143,text,30928,text/html,Introduced,https://legiscan.com/IA/text/HF136/id/3084143,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF136.html
1943080,3084212,text,46121,text/html,Introduced,https://legiscan.com/IA/text/HF137/id/3084212,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF137.html
1943119,3084247,text,18843,text/html,Introduced,https://legiscan.com/IA/text/HF138/id/3084247,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF138.html
